headline,is_sarcastic
Ook mysterieuze metalen monoliet opgedoken bij het Friese dorpje Oudehorne,0
Politie doet onderzoek naar racistische bekladding van pand in Amsterdam,0
Rondvliegende kogel raakt muur boven bed van 87-jarige vrouw,0
"Weekweerbericht: Koude week, in Limburg maandag kans op (natte) sneeuw",0
"Weerbericht: Ochtend begint met lichte vorst, later zonnige perioden",0
"ME weer in actie op Urk door overlastgevende jongeren, meerdere arrestaties",0
'Stukken bos kaalgekapt in Estland voor Nederlandse biomassacentrales',0
Frans duo op A4 aangehouden met 40.000 euro verstopt in auto,0
"RIVM meldt 6.577 nieuwe positieve tests, opnieuw meer dan gemiddeld (5.341)",0
Halsema: Jeugd wil geen door gemeente georganiseerd Oud en Nieuw,0
'Meer diversiteit op kieslijsten voor Tweede Kamerverkiezingen',0
"Weerbericht: Natte sneeuw in noordoosten, rest van het land blijft droog",0
'Tientallen handlangers Syrisch regime wonen als vluchteling in Nederland',0
Weekendweerbericht: Waterkoud en droog met kleine kans op natte sneeuw,0
Waarom Nederland (nog) geen massale vaccinatiecentra opbouwt,0
Verdachte steekpartij Haagse supermarkt wordt poging tot doodslag verweten,0
"RIVM meldt 5.935 nieuwe positieve tests, fors meer dan gemiddeld (5.017)",0
Wandelaar vindt onderkaak van voor Christus op strand Noordwijk,0
Imam Yassin El Forkani vertrekt mede door bedreigingen bij Blauwe Moskee,0
Verdachte martelcontainer hekelt karaktermoord en toont beelden uit jeugd,0
"Hoofdverdachte over martelcontainers: 'Geïsoleerd, ze mogen schreeuwen'",0
"RIVM koopt 240.000 extra griepvaccins, laatste levering in januari",0
Politie ontmantelt drugsorganisatie en doet grootste ketaminevangst ooit,0
20 jaar cel en tbs voor 'sadistisch' in brand steken van Bredase garagehouder,0
'Advocaten van kroongetuige Nabil B. en Peter R. de Vries staan op dodenlijst',0
Meerdere OMT-leden bedreigd en thuis opgezocht,0
Weerbericht: Veel bewolking met langs de kust kans op harde windstoten,0
"Oversterfte iets toegenomen, maar nog altijd lager dan in eerste coronagolf",0
Huisartsenvereniging: Genoeg griepvaccins om alle 60-plussers mee in te enten,0
Feestende Vindicat-leden negeren coronaregels in feestbus,0
Marco Kroon: Operatie aan hand nodig als gevolg van arrestatie,0
"Ook RIVM wil start vaccinatie in week van 4 januari, 'maar veel puzzelstukjes'",0
Enschedeër slaags met supermarktmedewerker om niet dragen mondkapje,0
Winkels in Rotterdam mogen op dag voor Sinterklaas toch later dicht,0
Groot onderzoek naar verspreiding aerosolen in Johan Cruijff ArenA,0
"RIVM meldt 5.641 nieuwe positieve tests, fors meer dan gemiddeld (5.016)",0
Pand van The Black Archives in Amsterdam beklad met verf en stickers,0
Winkels in Rotterdam moeten op de dag voor Sinterklaas eerder dicht,0
OM eist dertig jaar voor doodschieten dakloze man in bestelbus met drugs,0
Overijsselse FVD-fractievoorzitter door landelijk bestuur uit de partij gezet,0
LHV: Huisartsen kunnen patiënt geen verklaring over mondkapje meegeven,0
Marco Kroon: Ga gebukt onder veroordeling voor schennispleging,0
Slachtoffers van steekpartij in Haagse supermarkt niet in levensgevaar geweest,0
OM onderzoekt rol van drugsverdachte 'Piet Costa' bij verdwijning Naima Jillal,0
Mogelijk duizenden mensen missen diagnose door uitstel reguliere zorg,0
SCP: 'Mensen met verstandelijke beperking doen minder mee in samenleving',0
Weerbericht: Grotendeels bewolkt met op meerdere plaatsen motregen,0
Douane onderschept 421 kilo cocaïne tussen hulpmiddelen en bananen,0
"Belg met 1,2 miljoen euro opgepakt na poging agent in Den Haag aan te rijden",0
Huisartsen hebben twijfels over logistiek Pfizer-vaccin vanaf 4 januari,0
"Drie supermarktmedewerkers gewond bij steekpartij Den Haag, verdachte vast",0
"RIVM meldt 5.641 nieuwe positieve tests, fors meer dan gemiddeld (5.016)",0
Pand van The Black Archives in Amsterdam beklad met verf en stickers,0
Winkels in Rotterdam moeten op de dag voor Sinterklaas eerder dicht,0
OM eist dertig jaar voor doodschieten dakloze man in bestelbus met drugs,0
Overijsselse FVD-fractievoorzitter door landelijk bestuur uit de partij gezet,0
LHV: Huisartsen kunnen patiënt geen verklaring over mondkapje meegeven,0
Marco Kroon: Ga gebukt onder veroordeling voor schennispleging,0
Slachtoffers van steekpartij in Haagse supermarkt niet in levensgevaar geweest,0
